 


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
   57      40.00      38.00       0.00     363.00     380.00       0.00
   58       3.00      40.00       0.00     449.00     477.00       0.00
   59      39.00      40.00       0.00     361.00     400.00       0.00
   60      38.00      47.00       0.00     642.00     659.00       0.00
   61      27.00      13.00       0.00     175.00     199.00       0.00
   62      43.00      11.00       0.00     217.00     224.00       0.00
   63      27.00      34.00       0.00     331.00     358.00       0.00
   64      47.00      41.00       0.00     623.00     659.00       0.00
   65      33.00      13.00       0.00     175.00     202.00       0.00
   66      16.00      46.00       0.00     409.00     426.00       0.00
   67       5.00      41.00       0.00     420.00     456.00       0.00
   68       9.00      13.00       0.00      41.00      69.00       0.00
   69       0.00      32.00       0.00     469.00     494.00       0.00
   70      20.00      25.00       0.00     104.00     138.00       0.00
   71      36.00      49.00       0.00     374.00     391.00       0.00
   72      37.00      25.00       0.00     667.00     697.00       0.00
   73      29.00      27.00       0.00     124.00     138.00       0.00
   74      36.00      36.00       0.00     341.00     360.00       0.00
   75      50.00      14.00       0.00     186.00     221.00       0.00
   76      49.00      49.00       0.00     624.00     648.00       0.00
   77      30.00      16.00       0.00     303.00     330.00       0.00
   78      32.00      46.00       0.00     401.00     410.00       0.00
   79      28.00       1.00       0.00     226.00     246.00       0.00
   80      18.00       7.00       0.00       0.00      28.00       0.00
   81      35.00       9.00       0.00     164.00     185.00       0.00
   82      24.00      23.00       0.00     104.00     126.00       0.00
   83       8.00      17.00       0.00      43.00      54.00       0.00
   84       3.00      16.00       0.00      60.00      81.00       0.00
   85      41.00      47.00       0.00     616.00     627.00       0.00
   86      13.00      41.00       0.00     502.00     531.00       0.00
   87      49.00      42.00       0.00     694.00     713.00       0.00
   88      40.00      15.00       0.00     159.00     175.00       0.00
   89      12.00      21.00       0.00      94.00     115.00       0.00
   90      41.00      40.00       0.00     377.00     392.00       0.00
   91      27.00      49.00       0.00     407.00     422.00       0.00
   92       8.00      43.00       0.00     449.00     455.00       0.00
   93       2.00      41.00       0.00     431.00     448.00       0.00
   94       8.00      19.00       0.00      65.00      66.00       0.00
   95      40.00      19.00       0.00     157.00     163.00       0.00
   96       7.00      12.00       0.00      32.00      64.00       0.00
   97       0.00       3.00       0.00     554.00     576.00       0.00
   98      20.00      31.00       0.00     487.00     518.00       0.00
   99      36.00       1.00       0.00     234.00     250.00       0.00
  100      13.00      17.00       0.00     726.00     756.00       0.00
  101       0.00       0.00       0.00       0.00     814.00       0.00
